LICYR,LICTYPE,LICNO,BUSNAME,OWNERSHIP,LOTADDR,LOTCITY,LOTSTATE,PHONE
15,AD,3127,#9 AUTO SALVAGE,LLC,43514 HIGHWAY 9,TECUMSEH,OK,(405) 598-8876
15,UD,7824,"#9 AUTO SALES, LLC",LLC,43514 HIGHWAY 9,TECUMSEH,OK,(405) 598-8876
15,UD,5907,"10,000 RPM CLASSICS",S,103 MALLARD ROW,GOLDSBY,OK,(405) 288-2496
15,AD,299,"108 AUTO & TRUCK SALVAGE, INC",C,4410 N. ROSE ROAD,STILLWATER,OK,(405) 372-0702
15,UD,1247,"108 AUTO & TRUCK SALVAGE, INC.",C,4410 N. ROSE ROAD,STILLWATER,OK,(405) 372-0702
15,UD,4427,11TH STREET QUALITY CARS,S,4104 EAST 11TH STREET,TULSA,OK,(918) 619-9898
15,UD,4108,13401 RAILWAY AUTO,LLC,13401 RAILWAY DRIVE,OKLAHOMA CITY,OK,(405) 752-2107
15,MH,591,1ST CHOICE HOME CENTER,LLC,604 HUGHES ACCESS,ELK C ITY,OK,(817) 271-2976
15,UD,4403,"1ST STOP AUTO SALES, LLC",LLC,1224 N. PORTLAND,OKLAHOMA CITY,OK,(405) 673-7475
15,UD,4077,23RD STREET MOTORS,S,8024 NE 23RD,OKLAHOMA CITY,OK,(405) 424-2094
15,UD,4047,"29TH ST. MOTORS, LLC",LLC,1624 SW 29 STREET,OKLAHOMA CITY,OK,(405) 604-0099
15,AD,391,31 AUTO SALVAGE,S,1369 E. HWY 31 BOX 621,KREBS,OK,(918)423-2022
15,UD,1023,31 AUTO SALVAGE,S,1369 E. STATE HIGHWAY 31,McALESTER,OK,(918)423-2022
15,UD,7464,36 AUTO SALE,C,3620 S. MAY AVENUE,OKLAHOMA CITY,OK,(405) 429-7959
15,UD,7044,"360 MOTORS, LLC",C,1004 GIBSON STREET,MUSKOGEE,OK,(918) 231-2222
15,UD,7878,"3-N-1 AUTO GROUP, INC",C,10901 NE 23RD,NICOMA PARK,OK,(405) 634-5330
15,UD,457,4 CORNERS TRADIN POST,S,790012 S. HIGHWAY 177,CARNEY,OK,(918)374-2211
15,UD,6960,"4 GIVAN AUTO, LLC",LLC,5874 S. MINGO ROAD,TULSA,OK,(918) 443-9400
15,UD,6178,4 MILE AUTO SALES,S,24918 HIGHWAY 80,FT. GIBSON,OK,(918)478-9055
15,UD,4519,"405 MOTORSPORTS, LLC",LLC,1210 S. HWY 76,BLANCHARD,OK,(405) 485-4203
15,UD,4357,"48 AUTO, LLC",LLC,98148 HIGHWAY 48,CASTLE,OK,(918) 623-1346
15,UD,9353,4-B CAR CORNER,C,504 NW 1ST,ANADARKO,OK,(405) 247-7733
15,UD,6704,"5 STAR MINI TRUCKS, LLC",LLC,1777 W. VANDAMENT,YUKON,OK,(405) 354-7827
15,UD,7184,55 AUTO SALES,LLC,13724 N. LINCOLN BLVD,EDMOND,OK,(405) 546-5155
15,UD,4326,"5T AUTO SALES, LLC",LLC,439 S. SHERIDAN,TULSA,OK,(539) 664-5548
15,UD,8941,6 D'S AUTO SALES,S,130 W. TROWER BLVD,MANNFORD,OK,(918) 865-8399
15,UD,4168,6 D'S AUTO SALES #2,S,1018 W 4TH STREET,SAND SPRINGS,OK,(918) 419-2788
15,UD,4297,"6 SPEED AUTO SALES, LLC",LLC,625 SW 29TH STREET,OKLAHOMA CITY,OK,(405) 601-4236
15,AD,713,62 AUTO SALVAGE,S,2001 W. BROADWAY,ALTUS,OK,(580) 477-1969
15,AD,81,66 AUTO SALVAGE,S,I-40 BUSINESS EAST,CLINTON,OK,(580) 323-2338
15,AD,3166,66 AUTO SALVAGE,S,6100 NEW SAPULPA ROAD,TULSA,OK,(918) 446-6353
15,UD,4499,"69 MOTORS, LLC",LLC,1325 S. GEORGE NIGH EXPRESSWAY,MCALESTER,OK,(918) 423-6911
15,UD,4185,7 MOUNTAINS AUTO SALES,P,3259 SE 220TH RD,TALIHINA,OK,(918) 448-9569
15,UD,4112,733 CARS,LLC,216 S. SOONER ROAD,MIDWEST CITY,OK,(405) 733-2277
15,UD,5240,75 AUTO RECYCLING & SALES,S,756 NE WASHINGTON,BARTLESVILLE,OK,(918) 766-0303
